,Gender,Nationality,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisitedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
57,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Math,F,Father,5,2,6,5,Yes,Good,Above-7,L
58,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Math,F,Father,28,60,19,50,Yes,Good,Under-7,M
59,F,USA,USA,MiddleSchool,G-07,A,Math,F,Father,27,22,22,40,No,Good,Under-7,M
60,F,Jordan,Jordan,LowerLevel,G-05,A,English,F,Mum,21,10,28,20,No,Good,Above-7,L
61,M,Kuwait,Kuwait,HighSchool,G-10,A,IT,F,Father,50,70,32,40,Yes,Good,Under-7,M
62,M,venzuela,venzuela,HighSchool,G-10,A,IT,F,Mum,80,90,70,80,Yes,Good,Under-7,H
63,M,Kuwait,Kuwait,HighSchool,G-10,A,IT,F,Father,17,13,16,12,Yes,Bad,Under-7,M
64,M,Kuwait,Kuwait,HighSchool,G-10,A,IT,F,Father,0,5,7,2,No,Bad,Above-7,L
65,M,Kuwait,Kuwait,HighSchool,G-12,A,English,F,Father,13,5,18,19,No,Bad,Above-7,L
66,F,Kuwait,Kuwait,HighSchool,G-12,A,English,F,Father,25,10,19,30,No,Bad,Above-7,M
67,F,USA,USA,HighSchool,G-12,A,English,F,Mum,65,75,23,80,Yes,Good,Under-7,H
68,F,USA,USA,HighSchool,G-12,A,IT,F,Mum,70,69,35,30,Yes,Good,Under-7,H
69,M,Jordan,Jordan,MiddleSchool,G-07,A,IT,F,Father,39,40,11,33,No,Bad,Under-7,M
70,M,Jordan,Jordan,MiddleSchool,G-07,A,IT,F,Father,22,30,10,12,Yes,Good,Above-7,L
71,M,Kuwait,Kuwait,MiddleSchool,G-07,A,IT,F,Father,29,22,9,20,Yes,Good,Under-7,M
72,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Math,F,Father,11,2,2,8,No,Bad,Under-7,L
73,F,Kuwait,Kuwait,MiddleSchool,G-07,A,English,F,Father,19,30,26,19,Yes,Bad,Above-7,M
74,M,Kuwait,Kuwait,MiddleSchool,G-07,B,IT,F,Father,12,0,6,13,No,Bad,Under-7,L
75,M,Jordan,Jordan,MiddleSchool,G-07,A,Quran,F,Mum,50,90,29,60,Yes,Good,Under-7,M
76,M,Iran,Iran,HighSchool,G-09,A,IT,F,Mum,15,70,37,44,Yes,Good,Under-7,M
77,M,Kuwait,Kuwait,HighSchool,G-09,A,IT,F,Father,20,80,33,33,Yes,Good,Under-7,M
78,M,Kuwait,Kuwait,HighSchool,G-11,A,Quran,F,Father,13,3,11,9,No,Bad,Above-7,L
79,F,Lebanon,Lebanon,MiddleSchool,G-07,B,Math,F,Mum,80,90,49,55,Yes,Bad,Under-7,H
80,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Math,F,Father,8,15,10,40,Yes,Bad,Under-7,L
81,M,Kuwait,Kuwait,LowerLevel,G-02,A,IT,F,Father,8,25,1,70,No,Bad,Above-7,L
82,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,7,5,2,80,Yes,Good,Above-7,L
83,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,7,4,10,50,No,Good,Above-7,M
84,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,50,70,50,10,Yes,Good,Above-7,H
85,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,1,0,1,12,No,Bad,Above-7,L
86,M,SaudiArabia,SaudiArabia,LowerLevel,G-02,B,IT,F,Father,70,12,40,50,Yes,Good,Under-7,H
87,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,19,70,3,50,No,Bad,Under-7,L
88,F,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,3,12,4,33,No,Bad,Under-7,L
89,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,5,20,1,50,Yes,Good,Above-7,L
90,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,4,8,10,60,Yes,Good,Above-7,L
91,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,80,90,55,19,Yes,Good,Under-7,H
92,F,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,50,70,19,15,Yes,Good,Under-7,H
93,M,USA,USA,LowerLevel,G-02,B,IT,F,Father,55,89,40,40,Yes,Good,Under-7,H
94,F,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,80,44,35,10,No,Good,Above-7,L
95,F,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,100,80,2,70,No,Bad,Under-7,H
96,F,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Father,14,60,11,75,Yes,Good,Under-7,H
97,F,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,6,2,38,12,No,Bad,Under-7,M
98,F,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Father,10,3,0,30,No,Bad,Under-7,M
99,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,50,7,9,50,Yes,Bad,Above-7,M
100,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,50,90,40,90,Yes,Bad,Under-7,M
101,F,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Mum,70,92,50,7,Yes,Good,Under-7,H
102,F,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,2,6,2,8,No,Bad,Above-7,L
103,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,1,7,6,10,No,Bad,Above-7,L
104,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,0,12,3,3,Yes,Good,Above-7,M
105,F,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,0,0,5,80,Yes,Good,Above-7,L
106,F,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,12,26,7,40,Yes,Good,Under-7,M
107,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,70,90,41,33,Yes,Bad,Under-7,H
108,M,SaudiArabia,SaudiArabia,LowerLevel,G-02,B,IT,F,Father,7,12,5,3,No,Bad,Above-7,M
109,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,90,70,30,14,No,Bad,Under-7,M
110,F,Jordan,Jordan,LowerLevel,G-02,B,IT,F,Mum,70,88,55,40,Yes,Good,Under-7,H
111,M,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Father,77,80,51,80,No,Good,Under-7,M
112,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,2,5,3,50,No,Bad,Above-7,L
113,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,25,27,0,69,No,Bad,Above-7,L
114,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,11,2,0,50,No,Bad,Above-7,L
115,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,0,8,11,70,Yes,Good,Above-7,L
116,F,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Mum,77,80,12,19,Yes,Good,Above-7,M
117,F,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Mum,25,29,40,17,No,Good,Under-7,H
118,F,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Mum,24,35,23,22,Yes,Good,Above-7,M
119,M,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Father,60,60,3,60,No,Bad,Under-7,M
120,M,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Mum,21,12,0,50,Yes,Good,Under-7,M
121,M,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Mum,0,4,8,30,No,Bad,Above-7,L
122,F,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,66,90,55,12,Yes,Good,Above-7,M
123,F,Lebanon,Lebanon,LowerLevel,G-02,B,IT,F,Father,70,98,7,5,Yes,Good,Under-7,M
124,M,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Father,0,6,4,15,Yes,Bad,Under-7,L
125,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,12,30,0,17,No,Good,Above-7,L
126,F,Iran,Iran,LowerLevel,G-02,C,IT,F,Father,2,9,7,55,Yes,Good,Under-7,M
127,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,55,33,6,9,No,Bad,Above-7,L
128,M,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Father,12,10,20,16,No,Bad,Under-7,L
129,M,Kuwait,Kuwait,LowerLevel,G-02,B,IT,F,Father,70,90,2,2,Yes,Good,Under-7,L
130,F,Kuwait,Kuwait,LowerLevel,G-02,C,IT,F,Father,7,9,5,30,No,Bad,Above-7,L
131,M,Jordan,Jordan,LowerLevel,G-02,C,IT,F,Father,80,42,20,50,Yes,Good,Under-7,M
132,M,Kuwait,Kuwait,LowerLevel,G-02,C,IT,S,Father,0,3,10,3,No,Bad,Above-7,L
133,M,Kuwait,Kuwait,LowerLevel,G-02,A,IT,S,Father,12,60,0,70,Yes,Good,Above-7,L
134,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Quran,S,Father,80,80,15,70,Yes,Good,Under-7,H
135,F,Egypt,Egypt,MiddleSchool,G-07,A,Quran,S,Mum,70,80,95,70,Yes,Good,Under-7,H
136,F,Kuwait,USA,HighSchool,G-11,A,Quran,S,Mum,70,80,95,70,Yes,Good,Under-7,H
137,F,Kuwait,USA,HighSchool,G-11,A,Quran,F,Mum,60,80,50,40,No,Bad,Under-7,M
138,F,Jordan,Egypt,MiddleSchool,G-07,A,Quran,F,Mum,100,80,95,90,No,Bad,Under-7,H
139,M,Jordan,USA,MiddleSchool,G-07,A,Quran,F,Mum,100,85,85,70,No,Bad,Under-7,M
140,M,Tunis,Tunis,MiddleSchool,G-07,A,Quran,F,Father,10,60,5,20,Yes,Bad,Above-7,L
141,M,Tunis,Tunis,MiddleSchool,G-07,A,Quran,S,Father,19,65,50,10,No,Bad,Above-7,L
142,M,Tunis,Tunis,MiddleSchool,G-07,A,Quran,S,Father,10,75,55,11,Yes,Good,Under-7,M
143,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Quran,S,Father,80,90,55,19,Yes,Good,Under-7,H
144,M,Kuwait,Kuwait,MiddleSchool,G-07,A,Quran,S,Father,10,10,15,19,No,Bad,Above-7,L
145,M,Tunis,SaudiArabia,MiddleSchool,G-07,A,Quran,S,Father,70,75,55,11,Yes,Bad,Under-7,M
146,F,Lebanon,Lebanon,MiddleSchool,G-07,A,Quran,S,Mum,100,75,50,70,Yes,Good,Under-7,H
147,F,Lebanon,Lebanon,MiddleSchool,G-07,A,Quran,S,Father,10,79,30,30,No,Bad,Under-7,M
148,F,Jordan,Jordan,MiddleSchool,G-07,A,Quran,S,Father,60,55,30,40,No,Bad,Under-7,M
149,F,Jordan,Lebanon,MiddleSchool,G-07,A,Quran,S,Mum,100,75,50,70,Yes,Bad,Under-7,H
150,M,SaudiArabia,SaudiArabia,HighSchool,G-11,A,Quran,S,Father,80,80,51,59,Yes,Good,Under-7,H
151,M,SaudiArabia,USA,HighSchool,G-11,A,Science,S,Father,23,63,71,89,Yes,Good,Under-7,M
152,F,SaudiArabia,USA,HighSchool,G-11,B,Science,S,Father,100,91,98,40,Yes,Bad,Under-7,H
153,M,SaudiArabia,USA,HighSchool,G-11,B,Spanish,S,Father,10,51,40,40,No,Bad,Above-7,L
154,M,SaudiArabia,USA,HighSchool,G-11,B,English,S,Father,70,50,33,41,No,Bad,Above-7,M
155,M,SaudiArabia,USA,HighSchool,G-11,B,Math,S,Father,70,58,73,91,Yes,Bad,Under-7,H
156,F,Tunis,USA,HighSchool,G-11,B,French,S,Father,70,50,30,49,Yes,Good,Under-7,M
157,M,Tunis,Tunis,HighSchool,G-11,B,Science,S,Father,70,50,33,40,No,Good,Under-7,M
158,M,Tunis,Kuwait,MiddleSchool,G-07,B,Science,S,Father,22,51,48,10,No,Bad,Above-7,L
159,F,Kuwait,Kuwait,MiddleSchool,G-07,B,Science,S,Father,62,68,48,80,Yes,Good,Under-7,M
160,F,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Mum,82,89,58,50,Yes,Good,Under-7,H
161,M,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Mum,72,80,58,66,No,Bad,Under-7,M
162,F,Jordan,Jordan,LowerLevel,G-02,B,French,S,Mum,70,82,3,73,No,Bad,Under-7,H
163,F,Jordan,USA,LowerLevel,G-02,B,French,S,Mum,60,82,93,43,No,Bad,Above-7,M
164,M,Jordan,Jordan,LowerLevel,G-02,B,French,S,Mum,55,72,83,14,Yes,Good,Above-7,M
165,F,Morocco,Morocco,LowerLevel,G-02,B,French,S,Mum,72,65,73,66,Yes,Good,Under-7,H
166,M,Kuwait,Kuwait,LowerLevel,G-02,B,French,S,Mum,51,82,53,43,No,Bad,Under-7,M
167,M,Tunis,Tunis,LowerLevel,G-02,B,French,S,Mum,80,92,83,43,Yes,Good,Under-7,H
168,M,Kuwait,Kuwait,LowerLevel,G-02,B,French,S,Mum,60,52,23,33,Yes,Good,Under-7,H
169,M,Kuwait,Kuwait,LowerLevel,G-02,B,French,S,Mum,30,12,29,23,No,Bad,Under-7,M
170,M,Kuwait,Kuwait,LowerLevel,G-02,B,French,S,Father,40,62,83,33,Yes,Good,Under-7,H
171,M,Kuwait,Kuwait,LowerLevel,G-02,B,French,S,Mum,60,52,23,33,No,Good,Under-7,M
172,M,Iran,Iran,LowerLevel,G-02,B,French,S,Mum,20,22,53,13,No,Good,Above-7,L
173,M,Syria,Syria,LowerLevel,G-02,B,French,S,Mum,20,52,23,33,Yes,Good,Above-7,L
174,F,Jordan,Jordan,LowerLevel,G-02,B,French,S,Father,50,62,73,43,Yes,Bad,Above-7,M
175,M,Iran,Iran,LowerLevel,G-02,B,French,S,Father,10,2,13,53,No,Bad,Above-7,L
176,M,Tunis,Tunis,LowerLevel,G-02,B,French,S,Mum,60,52,23,33,Yes,Bad,Under-7,H
177,F,USA,USA,LowerLevel,G-02,B,French,S,Mum,15,52,83,11,Yes,Bad,Under-7,M
178,F,Lebanon,Lebanon,LowerLevel,G-02,B,French,S,Mum,80,42,33,13,Yes,Bad,Under-7,H
179,M,Lebanon,Lebanon,LowerLevel,G-02,B,French,S,Mum,40,51,20,33,No,Bad,Under-7,M
180,F,SaudiArabia,SaudiArabia,LowerLevel,G-02,B,French,S,Father,60,70,63,93,Yes,Bad,Under-7,H
181,M,Jordan,Jordan,LowerLevel,G-02,B,French,S,Father,50,62,13,33,No,Bad,Above-7,L
182,M,Kuwait,Kuwait,MiddleSchool,G-08,A,Arabic,S,Mum,85,75,62,53,Yes,Bad,Under-7,H
183,F,Lebanon,Lebanon,MiddleSchool,G-08,A,Arabic,S,Father,25,15,32,53,No,Bad,Under-7,M
184,M,Lebanon,Lebanon,MiddleSchool,G-08,A,Arabic,S,Mum,10,35,30,13,No,Bad,Above-7,L
185,M,Lebanon,Jordan,MiddleSchool,G-08,A,Arabic,S,Mum,87,65,82,33,Yes,Good,Under-7,H
186,M,Kuwait,Kuwait,MiddleSchool,G-08,A,Arabic,S,Mum,85,15,22,53,Yes,Good,Under-7,M
187,F,Kuwait,Kuwait,MiddleSchool,G-08,A,Arabic,S,Father,80,71,52,51,Yes,Good,Under-7,M
188,M,Kuwait,Kuwait,MiddleSchool,G-08,A,Arabic,S,Mum,75,71,72,53,Yes,Good,Under-7,H
189,F,Kuwait,Kuwait,MiddleSchool,G-08,A,Arabic,S,Father,85,66,12,23,No,Bad,Under-7,M
190,M,Kuwait,Kuwait,MiddleSchool,G-08,A,Arabic,S,Father,23,25,32,53,No,Bad,Under-7,L
191,M,Kuwait,Kuwait,MiddleSchool,G-08,A,Arabic,S,Father,15,25,37,13,Yes,Good,Above-7,L
192,M,Kuwait,Kuwait,MiddleSchool,G-08,A,Arabic,S,Mum,95,91,62,53,Yes,Good,Under-7,M
193,M,Morocco,Morocco,MiddleSchool,G-08,A,Arabic,S,Mum,81,75,62,53,No,Bad,Under-7,M
194,M,Morocco,Morocco,MiddleSchool,G-08,A,Arabic,S,Mum,53,75,72,23,No,Bad,Under-7,M
195,M,Kuwait,Kuwait,MiddleSchool,G-08,A,Arabic,S,Father,15,43,42,33,Yes,Good,Under-7,M
196,M,Kuwait,Kuwait,MiddleSchool,G-08,A,Arabic,S,Mum,92,65,62,53,Yes,Good,Under-7,H
197,M,Kuwait,Kuwait,MiddleSchool,G-08,A,Arabic,S,Mum,83,75,62,53,No,Bad,Under-7,H
198,M,Morocco,Morocco,MiddleSchool,G-08,B,Arabic,S,Father,27,15,42,53,No,Bad,Above-7,L
199,M,Kuwait,Kuwait,MiddleSchool,G-08,B,Arabic,S,Father,45,95,12,13,No,Bad,Under-7,M
200,M,Kuwait,Kuwait,MiddleSchool,G-08,B,Arabic,S,Mum,15,90,52,83,Yes,Bad,Under-7,H
201,F,Lebanon,Lebanon,MiddleSchool,G-08,A,Arabic,S,Mum,45,58,52,43,Yes,Good,Under-7,H
202,M,Kuwait,Kuwait,MiddleSchool,G-08,B,Arabic,S,Father,25,5,12,33,Yes,Good,Under-7,M
203,F,Kuwait,Kuwait,MiddleSchool,G-08,B,Arabic,S,Father,22,51,42,40,Yes,Bad,Under-7,M
204,M,Jordan,Jordan,MiddleSchool,G-08,B,Arabic,S,Father,29,10,12,24,No,Bad,Above-7,L
205,F,SaudiArabia,SaudiArabia,MiddleSchool,G-08,B,Arabic,S,Mum,72,51,42,24,Yes,Bad,Above-7,H
206,M,Kuwait,Kuwait,MiddleSchool,G-08,B,Arabic,S,Father,67,31,42,14,Yes,Good,Under-7,M
207,M,Kuwait,Kuwait,MiddleSchool,G-08,C,Spanish,S,Father,17,21,42,14,Yes,Good,Under-7,M
208,M,Tunis,Tunis,MiddleSchool,G-08,C,Spanish,S,Mum,27,41,49,14,No,Bad,Under-7,M
209,M,Kuwait,Kuwait,MiddleSchool,G-08,C,Spanish,S,Father,70,81,39,84,No,Bad,Under-7,M
210,M,Jordan,SaudiArabia,MiddleSchool,G-08,C,Spanish,S,Mum,27,90,82,14,Yes,Good,Under-7,H
211,M,Kuwait,Kuwait,MiddleSchool,G-08,C,Spanish,S,Father,17,61,42,14,No,Bad,Under-7,M
212,M,Tunis,Tunis,MiddleSchool,G-08,C,Spanish,S,Mum,87,81,42,19,Yes,Good,Under-7,H
213,M,Tunis,Tunis,MiddleSchool,G-08,C,Spanish,S,Father,7,61,22,14,No,Bad,Above-7,L
214,M,Kuwait,Kuwait,MiddleSchool,G-08,C,Spanish,S,Father,17,50,2,4,No,Bad,Above-7,L
215,M,Kuwait,Kuwait,MiddleSchool,G-08,C,Spanish,S,Father,5,21,42,14,No,Good,Above-7,L
216,M,Iran,Iran,MiddleSchool,G-08,C,Spanish,S,Mum,27,41,32,61,Yes,Bad,Above-7,M
217,F,Jordan,Kuwait,MiddleSchool,G-08,C,Spanish,S,Father,87,88,40,10,Yes,Good,Under-7,M
218,M,Kuwait,Kuwait,MiddleSchool,G-08,C,Spanish,S,Mum,96,61,42,94,Yes,Bad,Under-7,H
219,M,Kuwait,Kuwait,MiddleSchool,G-08,C,Spanish,S,Mum,57,51,46,34,Yes,Good,Under-7,M
220,M,Lebanon,Lebanon,MiddleSchool,G-08,C,Spanish,S,Father,77,69,41,13,Yes,Good,Under-7,M
221,M,Lebanon,Lebanon,MiddleSchool,G-08,C,Spanish,S,Father,80,51,40,24,No,Good,Under-7,M
222,M,Kuwait,Kuwait,MiddleSchool,G-08,B,Spanish,S,Father,62,61,82,40,Yes,Bad,Under-7,M
223,M,Kuwait,Kuwait,MiddleSchool,G-08,A,Spanish,S,Mum,72,83,12,90,Yes,Good,Under-7,H
224,M,Kuwait,Kuwait,MiddleSchool,G-08,B,Spanish,S,Mum,87,81,22,70,Yes,Bad,Under-7,H
225,M,Kuwait,Kuwait,MiddleSchool,G-08,A,Spanish,S,Mum,72,90,12,30,No,Bad,Under-7,M
226,M,Kuwait,Kuwait,MiddleSchool,G-08,B,Spanish,S,Father,2,11,62,30,No,Bad,Under-7,L
227,M,Kuwait,Kuwait,MiddleSchool,G-08,A,Spanish,S,Father,5,3,2,10,Yes,Good,Under-7,L
228,M,Kuwait,Kuwait,HighSchool,G-11,B,Math,S,Mum,73,84,77,81,Yes,Good,Above-7,H
229,M,Kuwait,Kuwait,MiddleSchool,G-08,A,Spanish,S,Father,5,17,21,10,No,Bad,Above-7,L
230,M,Iran,Iran,MiddleSchool,G-08,A,Spanish,S,Mum,51,42,12,29,No,Bad,Above-7,M
231,M,Syria,Jordan,MiddleSchool,G-08,A,Spanish,S,Father,9,7,21,20,Yes,Good,Above-7,L
232,M,Syria,Syria,MiddleSchool,G-07,A,Quran,F,Father,19,72,15,50,Yes,Good,Above-7,M
